Date,Gold22k,Gold24k,silver
23.Mar.21,43000,44000,453
22.Mar.21,43800,44800,467
21.Mar.21,43920,44920,479
20.Mar.21,43930,44930,450
19.Mar.21,44070,,460
18.Mar.21,44280,45280,486
17.Mar.21,43960,44960,489
16.Mar.21,43840,,460
15.Mar.21,43840,44840,468
14.Mar.21,43870,44870,451
